title,description,url,tags,difficulty,active,screenshot
micro:bit MakeCode,"Code games, sensors, and mini inventions. Click ""New Project"" to begin.",https://makecode.microbit.org/,"Coding, Game Design, Physical Computing, Electronics","Beginner, Intermediate",TRUE,
LEGO SPIKE Prime,Build and code LEGO robots right in your browser. Try the Getting Started tutorials.,https://spike.legoeducation.com/,"Coding, Robotics, Physical Computing","Beginner, Intermediate",TRUE,
FLL Robot Simulator,Simulate FIRST LEGO League missions and test your robot on a virtual field.,https://spike.ahardy.za.net/,"Coding, Robotics","Beginner, Intermediate",TRUE,
MakeCode Arcade,"Make games, animations, and stories using drag-and-drop coding. Sign in with your DOE email first.",https://arcade.makecode.com/,"Coding, Game Design","Beginner, Intermediate, Advanced",TRUE,
Code.org,Learn coding through games and puzzles. Choose an Hour of Code activity to begin.,https://code.org/,Coding,Beginner,TRUE,
Blockly Games,Solve coding puzzles and challenges. Start with the Maze game.,https://blockly.games/,Coding,Beginner,TRUE,
Raspberry Pi Code Clubs,All kinds of coding projects. Try Crafty Critters — collage a creepy critter in Python.,https://projects.raspberrypi.org/en/,Coding,"Beginner, Intermediate, Advanced",TRUE,
CodeMonkey,A coding game with a strong emphasis on fundamentals. Start at Level 1.,https://www.codemonkey.com/,Coding,"Beginner, Intermediate",TRUE,
RoboCodo,"A sequence-based coding maze game. Start with Level 1, the basic maze.",https://www.rodocodo.com/free-coding-game-for-kids/,Coding,Beginner,TRUE,
Canva for Education,"Create posters, slides, and infographics. Choose a template and edit it.",https://www.canva.com/education/,"2D Design, Art",Beginner,TRUE,
Adobe Express,"Create graphics, photos, presentations, and videos with free templates and AI tools. Log in through TeachHub.",https://idpcloud.nycenet.edu/authsvc/mtfim/sps/authsvc?PolicyId=urn:ibm:security:authentication:asf:basicldapuser&themeId=27897595-206f-432b-9166-813fa5e0bbe0&Target=https%3A%2F%2Fidpcloud.nycenet.edu%2Foauth2%2Fauthorize%3Fclient_id%3Df76efe74-8ee9-4799-831a-20458b2c09d0%26stateId%3Dbd16f752-4d03-4794-90c7-c29e36a3e7d2%26themeId%3D27897595-206f-432b-9166-813fa5e0bbe0,"2D Design, Art",Beginner,TRUE,
Pixilart,Create pixel art and retro game designs. Start drawing with the pixel tools.,https://www.pixilart.com/draw,"Game Design, 2D Design, Art",Beginner,TRUE,
Tinkercad,"Design 3D models and inventions. Choose ""3D Design"" to get started.",https://www.tinkercad.com/,3D Design,"Beginner, Intermediate",TRUE,
Tinkercad Codeblocks,"Use code to create 3D shapes and patterns. Open ""Codeblocks"" to try it.",https://www.tinkercad.com/codeblocks,"Coding, 3D Design","Beginner, Intermediate",TRUE,
PhET Simulations,"Explore electricity, motion, chemistry, and more. Choose a simulation and experiment.",https://phet.colorado.edu/en/simulations/filter?levels=elementary-school,"Physics, Science","Beginner, Intermediate",TRUE,
NASA Climate Kids,"Learn about space, weather, and Earth science. Pick a science topic or game.",https://climatekids.nasa.gov/,Science,Beginner,TRUE,
Google Earth,Explore the world in 3D. Search for a place and fly there.,https://earth.google.com/,Science,Beginner,TRUE,
GeoGebra,"Explore geometry, graphing, and math art. Open the Geometry or Graphing tools.",https://www.geogebra.org/,Math,"Beginner, Intermediate",TRUE,
Prodigy Math,Practice math through adventure games. Create a player and start exploring.,https://www.prodigygame.com/,Math,Beginner,TRUE,
Chrome Music Lab,"Explore music, sound, and patterns. Choose a music experiment to try.",https://musiclab.chromeexperiments.com/,Music,Beginner,TRUE,
Ableton Learning Music,"Learn beats, melodies, chords, and songs right in your browser — no installation.",https://learningmusic.ableton.com/,Music,Beginner,TRUE,
Ableton Learning Synths,Play and explore synthesizers right in your browser to learn how electronic sounds are made.,https://learningsynths.ableton.com/,Music,Beginner,TRUE,
Hello Waves Activities,Explore waves and sound through hands-on interactive activities.,http://nycfirst-d13.github.io/hello-waves,"Music, Science",Beginner,TRUE,
GeoGebra,"Draw shapes, stretch lines, and watch numbers come to life as you play. It's the ultimate tool to see exactly how math works while building your own cool creations!",https://www.geogebra.org/,Math,"Beginner, Intermediate",TRUE,
Prodigy Math,"Battle monsters and cast magic spells by solving math puzzles! Level up your wizard, rescue cool pets, and defeat bosses using your brainpower.",https://www.prodigygame.com/main-en,Math,Beginner,TRUE,
Cricut Decals,"Make your own custom stickers! Turn your doodles, text, and shapes into awesome decals ready to cut on a Cricut machine.",,"2D Design, Needs Supplies*",Beginner,TRUE,
Fractal Generators,"Zoom, click, and create infinite, mind-bending geometric patterns! Watch simple math lines repeat forever to build stunning, colorful shapes right before your eyes.",https://javalab.org/en/category/math_en/fractal_en/,"Math, Art",Beginner,TRUE,
Fractals from Images,"Turn any picture or drawing into amazing, repeating patterns and fractals.",,"Math, Art",Beginner,TRUE,
Tesselating Tiled Art,Create mind-bending tessellations and interlocking designs just like M.C. Escher!,https://docs.google.com/document/d/12PhsRI9umW1zFKNvOKgBdbpzhC6TeAcKR6pBlhne-_g/edit?usp=sharing,"Math, Art",Beginner,TRUE,
